"","Host","Accession","Description","Classification","Genome.Length..bp.","Jumbophage","molGC....","Molecule","Modification.Date","Number.CDS","Positive.Strand....","Negative.Strand....","Coding.Capacity...","Low.Coding.Capacity.Warning","tRNAs","Lowest.Taxa","Genus","Sub.family","Family","Order","Class","Phylum","Kingdom","Realm","Baltimore.Group","Genbank.Division","Isolation.Host..beware.inconsistent.and.nonsense.values.","gtdb_f","f_spor","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","fna"
"1759","Paenibacillus","OP503971","Paenibacillus phage Bloomfield","Paenibacillus phage Bloomfield Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44419,FALSE,"42.977","DNA","26-OCT-2022",79,"89.873417721519","10.126582278481","91.4743690762962",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1760","Paenibacillus","OP503984","Paenibacillus phage Rosalind","Paenibacillus phage Rosalind Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",43556,FALSE,"43.002","DNA","26-OCT-2022",77,"89.6103896103896","10.3896103896104","91.2273854348425",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1761","Paenibacillus","OP503969","Paenibacillus phage AJG77","Paenibacillus phage AJG77 Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44417,FALSE,"42.984","DNA","26-OCT-2022",79,"89.873417721519","10.126582278481","91.1137627484972",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1762","Paenibacillus","MW927516","Paenibacillus phage Hobie","Paenibacillus phage Hobie Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39417,FALSE,"41.723","DNA","30-NOV-2021",61,"86.8852459016393","13.1147540983607","88.0432300783926",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1763","Paenibacillus","MK533143","Paenibacillus phage vB_PlaP_API480","Paenibacillus phage vB_PlaP_API480 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",45026,FALSE,"39.240","DNA","08-OCT-2019",75,"29.3333333333333","70.6666666666667","91.080708923733",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1764","Paenibacillus","MW927513","Paenibacillus phage Bohemia","Paenibacillus phage Bohemia Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39670,FALSE,"42.014","DNA","30-NOV-2021",68,"89.7058823529412","10.2941176470588","88.9866397781699",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1765","Paenibacillus","OP503979","Paenibacillus phage Lena","Paenibacillus phage Lena Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44420,FALSE,"42.969","DNA","26-OCT-2022",79,"89.873417721519","10.126582278481","91.2832057631697",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1766","Paenibacillus","MW927525","Paenibacillus phage Sneaky","Paenibacillus phage Sneaky Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39668,FALSE,"42.034","DNA","30-NOV-2021",68,"89.7058823529412","10.2941176470588","89.0062518906927",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1767","Paenibacillus","OP494865","Paenibacillus phage LunBun","Paenibacillus phage LunBun Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44421,FALSE,"42.973","DNA","19-OCT-2022",79,"89.873417721519","10.126582278481","91.4837576821773",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1768","Paenibacillus","MH431930","Paenibacillus phage Wanderer","Paenibacillus phage Wanderer Wanderervirus wanderer Wanderervirus Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",40448,FALSE,"42.353","DNA","25-JUL-2018",68,"92.6470588235294","7.35294117647059","91.8586827531646",NA,0,"Wanderervirus","Wanderervirus","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1769","Paenibacillus","MG727696","Paenibacillus phage Kiel007","Paenibacillus phage Kiel007 Fernvirus rani Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",37985,FALSE,"41.811","DNA","09-APR-2018",58,"87.9310344827586","12.0689655172414","90.7542450967487",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1770","Paenibacillus","MH431933","Paenibacillus phage DevRi","Paenibacillus phage DevRi Fernvirus jacopo Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38520,FALSE,"41.493","DNA","05-AUG-2018",61,"86.8852459016393","13.1147540983607","89.1043613707165",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1771","Paenibacillus","OP503986","Paenibacillus phage TonyLawson77","Paenibacillus phage TonyLawson77 Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44420,FALSE,"42.963","DNA","26-OCT-2022",79,"89.873417721519","10.126582278481","91.4858171994597",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1772","Paenibacillus","KT361655","Paenibacillus phage Hayley","Paenibacillus phage Hayley Vegasvirus vegas Vegasvirus Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44256,FALSE,"43.459","DNA","09-MAR-2016",74,"87.8378378378378","12.1621621621622","91.648590021692",NA,0,"Vegasvirus","Vegasvirus","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Paenibacillus larvae NRRL 2605","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1773","Paenibacillus","MH431932","Paenibacillus phage Arcticfreeze","Paenibacillus phage Arcticfreeze Fernvirus jacopo Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38518,FALSE,"41.485","DNA","05-AUG-2018",61,"86.8852459016393","13.1147540983607","89.1089880056078",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1774","Paenibacillus","KT361651","Paenibacillus phage Harrison","Paenibacillus phage Harrison Harrisonvirus harrison Harrisonvirus Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44249,FALSE,"40.157","DNA","09-MAR-2016",74,"89.1891891891892","10.8108108108108","90.1444100431648",NA,0,"Harrisonvirus","Harrisonvirus","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Paenibacillus larvae NRRL 2605","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1775","Paenibacillus","OP503995","Paenibacillus phage vB_PlaS-5/A","Paenibacillus phage vB_PlaS-5/A Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41111,FALSE,"41.510","DNA","26-OCT-2022",65,"86.1538461538462","13.8461538461538","87.721047894724",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1776","Paenibacillus","OP503983","Paenibacillus phage Rae2Bee1","Paenibacillus phage Rae2Bee1 Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44420,FALSE,"42.969","DNA","26-OCT-2022",79,"89.873417721519","10.126582278481","91.4317874831157",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1777","Paenibacillus","KP296791","Paenibacillus phage Diva","Paenibacillus phage Diva Fernvirus diva Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",37246,FALSE,"42.072","DNA","23-JUN-2015",57,"84.2105263157895","15.7894736842105","88.3343177790904",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1778","Paenibacillus","HQ332138","Paenibacillus phage PG1","Paenibacillus phage PG1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",37644,FALSE,"42.400","DNA","10-JUN-2013",68,"94.1176470588235","5.88235294117647","87.9343321644884",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1779","Paenibacillus","MW927511","Paenibacillus phage AlexiD","Paenibacillus phage AlexiD Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",37997,FALSE,"41.764","DNA","30-NOV-2021",58,"87.9310344827586","12.0689655172414","90.7255835987052",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1780","Paenibacillus","OP503543","Paenibacillus phage BarryFoster_Benicio","Paenibacillus phage BarryFoster_Benicio Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44421,FALSE,"42.975","DNA","19-OCT-2022",79,"89.873417721519","10.126582278481","91.4837576821773",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1781","Paenibacillus","MG727700","Paenibacillus phage Tadhana","Paenibacillus phage Tadhana Fernvirus tadhana Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",37880,FALSE,"42.112","DNA","09-APR-2018",58,"93.1034482758621","6.89655172413793","91.085005279831",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1782","Paenibacillus","MH454083","Paenibacillus phage Saudage","Paenibacillus phage Saudage Fernvirus lucielle Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",37962,FALSE,"41.873","DNA","25-JUL-2018",63,"93.6507936507936","6.34920634920635","91.1016279437332",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1783","Paenibacillus","OP503988","Paenibacillus phage WildCape","Paenibacillus phage WildCape Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44430,FALSE,"42.982","DNA","26-OCT-2022",79,"89.873417721519","10.126582278481","91.4854827819041",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1784","Paenibacillus","MH454079","Paenibacillus phage Jacopo","Paenibacillus phage Jacopo Fernvirus jacopo Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38526,FALSE,"41.559","DNA","25-JUL-2018",61,"86.8852459016393","13.1147540983607","89.082697399159",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1785","Paenibacillus","MH454078","Paenibacillus phage Eltigre","Paenibacillus phage Eltigre Fernvirus eltigre Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38675,FALSE,"41.417","DNA","25-JUL-2018",63,"87.3015873015873","12.6984126984127","90.5468648998061",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1786","Paenibacillus","OP503987","Paenibacillus phage UtuhinaGold_Zacery","Paenibacillus phage UtuhinaGold_Zacery Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44420,FALSE,"42.972","DNA","26-OCT-2022",79,"89.873417721519","10.126582278481","91.4317874831157",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1787","Paenibacillus","MG727697","Paenibacillus phage Dragolir","Paenibacillus phage Dragolir Dragolirvirus dragolir Dragolirvirus Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41131,FALSE,"43.981","DNA","09-APR-2018",58,"86.2068965517241","13.7931034482759","90.3187376917653",NA,1,"Dragolirvirus","Dragolirvirus","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1788","Paenibacillus","KP296796","Paenibacillus phage Sitara","Paenibacillus phage Sitara Fernvirus sitara Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",43724,FALSE,"41.593","DNA","23-JUN-2015",67,"85.0746268656716","14.9253731343284","88.1117921507639",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1789","Paenibacillus","KP296793","Paenibacillus phage Rani","Paenibacillus phage Rani Fernvirus rani Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",37990,FALSE,"41.779","DNA","23-JUN-2015",58,"87.9310344827586","12.0689655172414","90.7265069755199",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1790","Paenibacillus","MG727701","Paenibacillus phage Leyra","Paenibacillus phage Leyra Fernvirus leyra Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",42276,FALSE,"41.395","DNA","18-JUN-2020",63,"87.3015873015873","12.6984126984127","89.2066420664207",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1791","Paenibacillus","MH431936","Paenibacillus phage Kawika","Paenibacillus phage Kawika Fernvirus kawika Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",40769,FALSE,"41.782","DNA","25-JUL-2018",69,"92.7536231884058","7.2463768115942","89.8771125119576",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1792","Paenibacillus","MH431931","Paenibacillus phage Yyerffej","Paenibacillus phage Yyerffej Fernvirus yyerffej Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",43126,FALSE,"40.551","DNA","25-JUL-2018",64,"89.0625","10.9375","89.0275008115754",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1793","Paenibacillus","OP503980","Paenibacillus phage Logan","Paenibacillus phage Logan Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44419,FALSE,"42.988","DNA","26-OCT-2022",79,"89.873417721519","10.126582278481","91.4743690762962",NA,0,"Gochnauervirinae","Unclassified","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1794","Paenibacillus","MG727702","Paenibacillus phage Likha","Paenibacillus phage Likha Fernvirus likha Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39778,FALSE,"41.302","DNA","09-APR-2018",59,"91.5254237288136","8.47457627118644","91.0000502790487",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1795","Paenibacillus","MH460824","Paenibacillus phage Unity","Paenibacillus phage Unity Halcyonevirus unity Halcyonevirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",50316,FALSE,"49.110","DNA","25-JUL-2018",77,"98.7012987012987","1.2987012987013","91.5752444550441",NA,0,"Halcyonevirus","Halcyonevirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1796","Paenibacillus","MG727695","Paenibacillus phage BN12","Paenibacillus phage BN12 Fernvirus BN12 Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39485,FALSE,"42.560","DNA","09-APR-2018",64,"82.8125","17.1875","91.6905153855895",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1797","Paenibacillus","MH454080","Paenibacillus phage Ley","Paenibacillus phage Ley Halcyonevirus C7Cdelta Halcyonevirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",56465,FALSE,"47.975","DNA","25-JUL-2018",85,"95.2941176470588","4.70588235294118","89.8220136367661",NA,0,"Halcyonevirus","Halcyonevirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1798","Paenibacillus","KT361657","Paenibacillus phage Diane","Paenibacillus phage Diane Vegasvirus vegas Vegasvirus Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",45653,FALSE,"43.649","DNA","09-MAR-2016",75,"86.6666666666667","13.3333333333333","91.5252009725538",NA,0,"Vegasvirus","Vegasvirus","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Paenibacillus larvae NRRL 2605","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1799","Paenibacillus","KT361652","Paenibacillus phage Xenia","Paenibacillus phage Xenia Fernvirus shelly Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41149,FALSE,"41.525","DNA","09-MAR-2016",64,"85.9375","14.0625","88.1722520595883",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Paenibacillus larvae NRRL 2605","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1800","Paenibacillus","KT361656","Paenibacillus phage Vadim","Paenibacillus phage Vadim Vegasvirus vegas Vegasvirus Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",45653,FALSE,"43.653","DNA","09-MAR-2016",75,"86.6666666666667","13.3333333333333","91.5252009725538",NA,0,"Vegasvirus","Vegasvirus","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Paenibacillus larvae NRRL 2605","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1801","Paenibacillus","MG727699","Paenibacillus phage Pagassa","Paenibacillus phage Pagassa Fernvirus pagassa Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",40035,FALSE,"42.001","DNA","09-APR-2018",63,"92.0634920634921","7.93650793650794","91.3825402772574",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1802","Paenibacillus","KT361653","Paenibacillus phage Paisley","Paenibacillus phage Paisley Harrisonvirus harrison Harrisonvirus Gochnauervirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",44172,FALSE,"40.043","DNA","09-MAR-2016",74,"89.1891891891892","10.8108108108108","89.7446346101603",NA,0,"Harrisonvirus","Harrisonvirus","Gochnauervirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Paenibacillus larvae NRRL 2605","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1803","Paenibacillus","MH431935","Paenibacillus phage Honeybear","Paenibacillus phage Honeybear Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",40054,FALSE,"41.941","DNA","25-JUL-2018",63,"92.0634920634921","7.93650793650794","91.3242123133769",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1804","Paenibacillus","MH460826","Paenibacillus phage Heath","Paenibacillus phage Heath Halcyonevirus halcyone Halcyonevirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",55560,FALSE,"48.571","DNA","25-JUL-2018",87,"89.6551724137931","10.3448275862069","90.3563714902808",NA,0,"Halcyonevirus","Halcyonevirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1805","Paenibacillus","MH460827","Paenibacillus phage Halcyone","Paenibacillus phage Halcyone Halcyonevirus halcyone Halcyonevirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",55560,FALSE,"48.560","DNA","25-JUL-2018",87,"89.6551724137931","10.3448275862069","90.3563714902808",NA,0,"Halcyonevirus","Halcyonevirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
"1806","Paenibacillus","MH431934","Paenibacillus phage Gryphonian","Paenibacillus phage Gryphonian Fernvirus jacopo Fernvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38541,FALSE,"41.457","DNA","25-JUL-2018",61,"86.8852459016393","13.1147540983607","89.0635946135285",NA,0,"Fernvirus","Fernvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Paenibacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Paenibacillales","fna"
