"","final_gene","phage","mmseqs_qseqid","sporulation_hit","Host","Description"
"105742","K02335","NC_048652","NC_048652_119","sporulation_gene","Bacillus","Bacillus phage vB_BsuM-Goe3"
"105743","K02335","NC_048726","NC_048726_135","sporulation_gene","Bacillus","Bacillus phage BSP38"
"105744","K02335","NC_048735","NC_048735_50","sporulation_gene","Bacillus","Bacillus phage vB_BboS-125"
"105745","K02335","NC_048735","NC_048735_50","sporulation_gene","Bacillus","Bacillus phage vB_BboS-125"
"105746","K02335","NC_048797","NC_048797_111","sporulation_gene","Bacillus","Bacillus phage vB_BmeM-Goe8"
"105747","K02335","NC_055028","NC_055028_55","sporulation_gene","Paenibacillus","Paenibacillus phage C7Cdelta"
"105748","K02335","NC_055028","NC_055028_55","sporulation_gene","Paenibacillus","Paenibacillus phage C7Cdelta"
"105749","K02335","NC_055029","NC_055029_58","sporulation_gene","Paenibacillus","Paenibacillus phage Halcyone"
"105750","K02335","NC_055030","NC_055030_60","sporulation_gene","Paenibacillus","Paenibacillus phage Scottie"
"105751","K02335","NC_055031","NC_055031_48","sporulation_gene","Paenibacillus","Paenibacillus phage Unity"
"105752","K02335","ON210834","ON210834_63","sporulation_gene","Bacillus","Bacillus phage 268TH007"
"105753","K02335","OK349510","OK349510_29","sporulation_gene","Bacillus","Bacillus phage BM-P1"
"105754","K02335","OK499976","OK499976_139","sporulation_gene","Bacillus","Bacillus phage vB_BanH_JarJar"
"105755","K02335","OK499977","OK499977_113","sporulation_gene","Bacillus","Bacillus phage vB_BanH_Emiliahah"
"105756","K03781","CP103976","CP103976_11","sporulation_gene","Clostridioides","Clostridioides phage HGP05"
"105757","K03790","AF020713","AF020713_13","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"105758","K03790","MT366946","MT366946_5","sporulation_gene","Bacillus","Bacillus phage Hyb1phi3Ts-SPbeta"
"105759","K03790","MT601272","MT601272_10","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe11"
"105760","K03790","NC_001884","NC_001884_13","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"105761","K03790","OL580764","OL580764_9","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe14"
"105762","K03790","ON107264","ON107264_135","sporulation_gene","Bacillus","Bacillus phage BUCT083"
"105763","K03790","OQ921345","OQ921345_51","sporulation_gene","Bacillus","Bacillus phage SPbetaL5"
"105764","K04763","CP011970","CP011970_42","sporulation_gene","Peptoclostridium","Peptoclostridium phage phiCDIF1296T"
"105765","K04763","CP027117","CP027117_9","sporulation_gene","Bacillus","Bacillus phage EZ-2018a"
"105766","K04763","CP063417","CP063417_45","sporulation_gene","Parageobacillus","Parageobacillus phage JGon-2020a"
"105767","K04763","CP063964","CP063964_49","sporulation_gene","Clostridium","Clostridium phage CWou-2020a"
"105768","K04763","CP067347","CP067347_86","sporulation_gene","Clostridioides","Clostridioides phage ES-S-0107-01"
"105769","K04763","CP052843","CP052843_15","sporulation_gene","Bacillus","Bacillus phage Hybphi3Ts"
"105770","K04763","CP067352","CP067352_11","sporulation_gene","Clostridioides","Clostridioides phage ES-S-0173-01"
"105771","K04763","CP069347","CP069347_23","sporulation_gene","Clostridioides","Clostridioides phage pCD5401_3"
"105772","K04763","CP069348","CP069348_171","sporulation_gene","Clostridioides","Clostridioides phage pCD1602_4"
"105773","K04763","CP067347","CP067347_181","sporulation_gene","Clostridioides","Clostridioides phage ES-S-0107-01"
"105774","K04763","CP103976","CP103976_18","sporulation_gene","Clostridioides","Clostridioides phage HGP05"
"105775","K04763","GU233956","GU233956_52","sporulation_gene","Bacillus","Bacillus phage 11143"
"105776","K04763","GU233956","GU233956_17","sporulation_gene","Bacillus","Bacillus phage 11143"
"105777","K04763","GU233956","GU233956_17","sporulation_gene","Bacillus","Bacillus phage 11143"
"105778","K04763","GU949551","GU949551_58","sporulation_gene","Clostridium","Clostridium phage phiCD6356"
"105779","K04763","HE614282","HE614282_20","sporulation_gene","Bacillus","Bacillus phage BceA1"
"105780","K04763","HE614282","HE614282_20","sporulation_gene","Bacillus","Bacillus phage BceA1"
"105781","K04763","HG796225","HG796225_49","sporulation_gene","Clostridium","Clostridium phage phiCDHM13"
"105782","K04763","HM568888","HM568888_48","sporulation_gene","Clostridium","Clostridium phage phiCD38-2"
"105783","K04763","JN191664","JN191664_17","sporulation_gene","Bacillus","Bacillus phage BtCS33"
"105784","K04763","JN191664","JN191664_17","sporulation_gene","Bacillus","Bacillus phage BtCS33"
"105785","K04763","JN191664","JN191664_52","sporulation_gene","Bacillus","Bacillus phage BtCS33"
"105786","K04763","CP103806","CP103806_17","sporulation_gene","Clostridioides","Clostridioides phage Hain-Saunders-2022a"
"105787","K04763","JX145342","JX145342_44","sporulation_gene","Clostridium","Clostridium phage phiMMP04"
"105788","K04763","KC481682","KC481682_250","sporulation_gene","Bacillus","Bacillus phage vB_BanS-Tsamsa"
"105789","K04763","KC481682","KC481682_221","sporulation_gene","Bacillus","Bacillus phage vB_BanS-Tsamsa"
"105790","K02335","MH487649","MH487649_162","sporulation_gene","Bacillus","Bacillus phage BC01"
"105791","K02335","MH538193","MH538193_147","sporulation_gene","Bacillus","Bacillus phage Saddex"
"105792","K02335","MH538193","MH538193_145","sporulation_gene","Bacillus","Bacillus phage Saddex"
"105793","K02335","MH606185","MH606185_135","sporulation_gene","Bacillus","Bacillus phage BSP38"
"105794","K02335","MH638309","MH638309_121","sporulation_gene","Bacillus","Bacillus phage Hobo"
"105795","K02335","MH638310","MH638310_148","sporulation_gene","Bacillus","Bacillus phage Kamfam"
"105796","K02335","MH638311","MH638311_153","sporulation_gene","Bacillus","Bacillus phage OmnioDeoPrimus"
"105797","K02335","MH638311","MH638311_152","sporulation_gene","Bacillus","Bacillus phage OmnioDeoPrimus"
"105798","K02335","MH638312","MH638312_123","sporulation_gene","Bacillus","Bacillus phage Kioshi"
"105799","K02335","MH707429","MH707429_134","sporulation_gene","Bacillus","Bacillus phage BSP12"
"105800","K02335","MH707429","MH707429_137","sporulation_gene","Bacillus","Bacillus phage BSP12"
"105801","K02335","MH707429","MH707429_139","sporulation_gene","Bacillus","Bacillus phage BSP12"
"105802","K02335","MH707430","MH707430_55","sporulation_gene","Bacillus","Bacillus phage BSP7"
"105803","K02335","MH707430","MH707430_54","sporulation_gene","Bacillus","Bacillus phage BSP7"
"105804","K02335","MH707431","MH707431_117","sporulation_gene","Bacillus","Bacillus phage BSP14"
"105805","K02335","MH707432","MH707432_115","sporulation_gene","Bacillus","Bacillus phage BSP15"
"105806","K02335","MH707432","MH707432_111","sporulation_gene","Bacillus","Bacillus phage BSP15"
"105807","K02335","MH707432","MH707432_113","sporulation_gene","Bacillus","Bacillus phage BSP15"
"105808","K02335","MH707433","MH707433_130","sporulation_gene","Bacillus","Bacillus phage BSP18"
"105809","K02335","MH707433","MH707433_132","sporulation_gene","Bacillus","Bacillus phage BSP18"
"105810","K02335","MH707433","MH707433_130","sporulation_gene","Bacillus","Bacillus phage BSP18"
"105811","K02335","MH707434","MH707434_15","sporulation_gene","Bacillus","Bacillus phage BSP19"
"105812","K02335","MH707435","MH707435_30","sporulation_gene","Bacillus","Bacillus phage BSP21"
"105813","K02335","MH707435","MH707435_28","sporulation_gene","Bacillus","Bacillus phage BSP21"
"105814","K02335","MH707435","MH707435_28","sporulation_gene","Bacillus","Bacillus phage BSP21"
"105815","K02335","MH707436","MH707436_130","sporulation_gene","Bacillus","Bacillus phage BSP36"
"105816","K02335","MH884509","MH884509_50","sporulation_gene","Bacillus","Bacillus phage vB_BboS-125"
"105817","K02335","MH884509","MH884509_50","sporulation_gene","Bacillus","Bacillus phage vB_BboS-125"
"105818","K02335","MH884511","MH884511_121","sporulation_gene","Exiguobacterium","Exiguobacterium phage vB_EalM-132"
"105819","K02335","MH884511","MH884511_121","sporulation_gene","Exiguobacterium","Exiguobacterium phage vB_EalM-132"
"105820","K02335","MK017819","MK017819_76","sporulation_gene","Clostridium","Clostridium phage CPD4"
"105821","K02335","MK215646","MK215646_144","sporulation_gene","Bacillus","Bacillus phage vB_BthM-Goe5"
"105822","K02335","MK533143","MK533143_45","sporulation_gene","Paenibacillus","Paenibacillus phage vB_PlaP_API480"
"105823","K02335","MK533143","MK533143_45","sporulation_gene","Paenibacillus","Paenibacillus phage vB_PlaP_API480"
"105824","K02335","MK533143","MK533143_45","sporulation_gene","Paenibacillus","Paenibacillus phage vB_PlaP_API480"
"105825","K02335","MK533143","MK533143_45","sporulation_gene","Paenibacillus","Paenibacillus phage vB_PlaP_API480"
"105826","K02335","MN013089","MN013089_168","sporulation_gene","Bacillus","Bacillus phage vB_BspM_MarvelLand"
"105827","K02335","MN038176","MN038176_153","sporulation_gene","Bacillus","Bacillus phage Phireball"
"105828","K02335","MN038176","MN038176_153","sporulation_gene","Bacillus","Bacillus phage Phireball"
"105829","K02335","MN038176","MN038176_155","sporulation_gene","Bacillus","Bacillus phage Phireball"
"105830","K02335","MN038178","MN038178_142","sporulation_gene","Bacillus","Bacillus phage Beyonphe"
"105831","K02335","MN038179","MN038179_155","sporulation_gene","Bacillus","Bacillus phage ALPS"
"105832","K02335","MN038179","MN038179_153","sporulation_gene","Bacillus","Bacillus phage ALPS"
"105833","K02335","MN038179","MN038179_153","sporulation_gene","Bacillus","Bacillus phage ALPS"
"105834","K02335","MN043729","MN043729_111","sporulation_gene","Bacillus","Bacillus phage vB_BmeM-Goe8"
"105835","K02335","MN043730","MN043730_122","sporulation_gene","Bacillus","Bacillus phage vB_BveM-Goe7"
"105836","K02335","MN150686","MN150686_116","sporulation_gene","Bacillus","Bacillus phage BC-T25"
"105837","K02335","MN153503","MN153503_140","sporulation_gene","Bacillus","Bacillus phage Chotacabras"
"105838","K02335","MN153503","MN153503_138","sporulation_gene","Bacillus","Bacillus phage Chotacabras"
"105839","K02335","MN417334","MN417334_15","sporulation_gene","Clostridium","Clostridium phage CPAS-15"
"105840","K02335","PP579743","PP579743_107","sporulation_gene","Bacillus","Bacillus phage KKP_4048"
"105841","K02335","PP938272","PP938272_48","sporulation_gene","Bacillus","Bacillus phage PHBA67-T"
"105842","K02335","PP579744","PP579744_106","sporulation_gene","Bacillus","Bacillus phage KKP_4049"
"105843","K02335","PP579745","PP579745_105","sporulation_gene","Bacillus","Bacillus phage KKP_4050"
"105844","K02335","PP626411","PP626411_98","sporulation_gene","Bacillus","Bacillus phage fHSPT3"
"105845","K02335","PP626411","PP626411_98","sporulation_gene","Bacillus","Bacillus phage fHSPT3"
"105846","K02335","PQ217616","PQ217616_153","sporulation_gene","Bacillus","Bacillus phage Azalea"
"105847","K02335","PQ154629","PQ154629_154","sporulation_gene","Bacillus","Bacillus phage JackRabbit"
"105848","K02335","PP883967","PP883967_141","sporulation_gene","Bacillus","Bacillus phage Jabberwock"
"105849","K02335","PP938272","PP938272_48","sporulation_gene","Bacillus","Bacillus phage PHBA67-T"
"105850","K02335","PQ217616","PQ217616_155","sporulation_gene","Bacillus","Bacillus phage Azalea"
"105851","K02335","PQ154629","PQ154629_156","sporulation_gene","Bacillus","Bacillus phage JackRabbit"
"105852","K02335","KX156152","KX156152_154","sporulation_gene","Bacillus","Bacillus phage Smudge"
"105853","K02335","KX349902","KX349902_154","sporulation_gene","Bacillus","Bacillus phage Kida"
"105854","K02335","KX349902","KX349902_152","sporulation_gene","Bacillus","Bacillus phage Kida"
"105855","K02335","KX349902","KX349902_152","sporulation_gene","Bacillus","Bacillus phage Kida"
"105856","K02335","KX349903","KX349903_158","sporulation_gene","Bacillus","Bacillus phage DirtyBetty"
"105857","K02335","KX495186","KX495186_150","sporulation_gene","Bacillus","Bacillus phage PK16"
"105858","K02335","KX961629","KX961629_153","sporulation_gene","Bacillus","Bacillus phage BJ4"
"105859","K02335","KX961629","KX961629_155","sporulation_gene","Bacillus","Bacillus phage BJ4"
"105860","K02335","KX961630","KX961630_127","sporulation_gene","Bacillus","Bacillus phage QCM8"
"105861","K02335","KX961632","KX961632_150","sporulation_gene","Bacillus","Bacillus phage SBP8a"
"105862","K02335","KX961632","KX961632_150","sporulation_gene","Bacillus","Bacillus phage SBP8a"
"105863","K02335","KX987999","KX987999_114","sporulation_gene","Bacillus","Bacillus phage BCP12"
"105864","K02335","KY206887","KY206887_67","sporulation_gene","Clostridium","Clostridium phage Clo-PEP-1"
"105865","K02335","AB605730","AB605730_193","sporulation_gene","Bacillus","Bacillus phage SP-10"
"105866","K02335","AB605730","AB605730_193","sporulation_gene","Bacillus","Bacillus phage SP-10"
"105867","K02335","AB930182","AB930182_28","sporulation_gene","Bacillus","Bacillus phage SPG24"
"105868","K02335","AB930182","AB930182_28","sporulation_gene","Bacillus","Bacillus phage SPG24"
"105869","K02335","AB930182","AB930182_30","sporulation_gene","Bacillus","Bacillus phage SPG24"
"105870","K02335","AP013029","AP013029_136","sporulation_gene","Bacillus","Bacillus phage phiNIT1"
"105871","K02335","AP013029","AP013029_139","sporulation_gene","Bacillus","Bacillus phage phiNIT1"
"105872","K02335","CP027117","CP027117_54","sporulation_gene","Bacillus","Bacillus phage EZ-2018a"
"105873","K02335","CP027117","CP027117_54","sporulation_gene","Bacillus","Bacillus phage EZ-2018a"
"105874","K02335","FJ230960","FJ230960_135","sporulation_gene","Bacillus","Bacillus phage SPO1"
"105875","K02335","HM144387","HM144387_91","sporulation_gene","Bacillus","Bacillus phage W.Ph."
"105876","K02335","HM159959","HM159959_51","sporulation_gene","Clostridium","Clostridium phage phiCTP1"
"105877","K02335","HM159959","HM159959_51","sporulation_gene","Clostridium","Clostridium phage phiCTP1"
"105878","K02335","JF966203","JF966203_98","sporulation_gene","Bacillus","Bacillus phage Bastille"
"105879","K02335","JN654439","JN654439_204","sporulation_gene","Bacillus","Bacillus phage BPS13"
"105880","K02335","JN712910","JN712910_51","sporulation_gene","Bacillus","Bacillus phage BCD7"
"105881","K02335","JN712910","JN712910_51","sporulation_gene","Bacillus","Bacillus phage BCD7"
"105882","K02335","JN712910","JN712910_51","sporulation_gene","Bacillus","Bacillus phage BCD7"
"105883","K02335","JN712910","JN712910_51","sporulation_gene","Bacillus","Bacillus phage BCD7"
"105884","K02335","JN790865","JN790865_203","sporulation_gene","Bacillus","Bacillus phage B4"
"105885","K02335","JN797796","JN797796_203","sporulation_gene","Bacillus","Bacillus phage B5S"
"105886","K02335","JN797797","JN797797_154","sporulation_gene","Bacillus","Bacillus phage BCP78"
"105887","K02335","JN797798","JN797798_146","sporulation_gene","Bacillus","Bacillus phage BCU4"
"105888","K02335","JQ246028","JQ246028_26","sporulation_gene","Clostridium","Clostridium phage phi8074-B1"
"105889","K02335","JX094431","JX094431_155","sporulation_gene","Bacillus","Bacillus phage vB_BceM_Bc431v3"
"105890","K02335","JX238501","JX238501_95","sporulation_gene","Bacillus","Bacillus phage phiAGATE"
"105891","K02335","JX238501","JX238501_97","sporulation_gene","Bacillus","Bacillus phage phiAGATE"
"105892","K02335","JX238501","JX238501_97","sporulation_gene","Bacillus","Bacillus phage phiAGATE"
"105893","K02335","KC430106","KC430106_204","sporulation_gene","Bacillus","Bacillus phage BPS10C"
"105894","K02335","KC595512","KC595512_148","sporulation_gene","Bacillus","Bacillus phage JL"
"105895","K02335","KC595512","KC595512_148","sporulation_gene","Bacillus","Bacillus phage JL"
"105896","K02335","KC595513","KC595513_155","sporulation_gene","Bacillus","Bacillus phage Shanette"
"105897","K02335","KC595513","KC595513_155","sporulation_gene","Bacillus","Bacillus phage Shanette"
"105898","K02335","KC699836","KC699836_183","sporulation_gene","Bacillus","Bacillus phage SIOphi"
"105899","K02335","KC699836","KC699836_184","sporulation_gene","Bacillus","Bacillus phage SIOphi"
"105900","K02335","KF208639","KF208639_147","sporulation_gene","Bacillus","Bacillus phage Troll"
"105901","K02335","KF554508","KF554508_85","sporulation_gene","Bacillus","Bacillus phage CP-51"
"105902","K02335","KF554508","KF554508_85","sporulation_gene","Bacillus","Bacillus phage CP-51"
"105903","K02335","KF669647","KF669647_144","sporulation_gene","Bacillus","Bacillus phage BigBertha"
"105904","K02335","KF669649","KF669649_136","sporulation_gene","Bacillus","Bacillus phage CampHawk"
"105905","K02335","KF669652","KF669652_132","sporulation_gene","Bacillus","Bacillus phage Grass"
"105906","K02335","KF669652","KF669652_134","sporulation_gene","Bacillus","Bacillus phage Grass"
"105907","K02335","KF669662","KF669662_144","sporulation_gene","Bacillus","Bacillus phage Spock"
"105908","K02335","KJ010547","KJ010547_75","sporulation_gene","Bacillus","Bacillus phage Bp8p-C"
"105909","K02335","KJ010548","KJ010548_74","sporulation_gene","Bacillus","Bacillus phage Bp8p-T"
"105910","K02335","KJ081346","KJ081346_169","sporulation_gene","Bacillus","Bacillus phage BCP8-2"
"105911","K02335","KJ451625","KJ451625_129","sporulation_gene","Bacillus","Bacillus phage Bcp1"
"105912","K02335","KJ489397","KJ489397_160","sporulation_gene","Bacillus","Bacillus phage CAM003"
"105913","K02335","KJ489397","KJ489397_158","sporulation_gene","Bacillus","Bacillus phage CAM003"
"105914","K02335","KJ489398","KJ489398_156","sporulation_gene","Bacillus","Bacillus phage Evoli"
"105915","K02335","KJ489399","KJ489399_148","sporulation_gene","Bacillus","Bacillus phage Hakuna"
"105916","K02335","KJ489399","KJ489399_147","sporulation_gene","Bacillus","Bacillus phage Hakuna"
"105917","K02335","KJ489400","KJ489400_161","sporulation_gene","Bacillus","Bacillus phage Hoody T"
"105918","K02335","KJ489400","KJ489400_159","sporulation_gene","Bacillus","Bacillus phage Hoody T"
"105919","K02335","KJ489401","KJ489401_154","sporulation_gene","Bacillus","Bacillus phage Megatron"
"105920","K02335","KJ489401","KJ489401_152","sporulation_gene","Bacillus","Bacillus phage Megatron"
"105921","K02335","KJ489402","KJ489402_143","sporulation_gene","Bacillus","Bacillus phage Riley"
"105922","K02335","KJ676859","KJ676859_146","sporulation_gene","Bacillus","Bacillus phage JBP901"
"105923","K02335","KM051843","KM051843_118","sporulation_gene","Bacillus","Bacillus phage Bobb"
"105924","K02335","KM236245","KM236245_108","sporulation_gene","Bacillus","Bacillus phage Mater"
"105925","K02335","KM236245","KM236245_110","sporulation_gene","Bacillus","Bacillus phage Mater"
"105926","K02335","KM236246","KM236246_108","sporulation_gene","Bacillus","Bacillus phage Moonbeam"
"105927","K02335","KM236246","KM236246_110","sporulation_gene","Bacillus","Bacillus phage Moonbeam"
"105928","K02335","MT104122","MT104122_58","sporulation_gene","Sporosarcina","Sporosarcina phage Lietuvens"
"105929","K02335","KT151955","KT151955_126","sporulation_gene","Brevibacillus","Brevibacillus phage Jenst"
"105930","K02335","KT151957","KT151957_131","sporulation_gene","Brevibacillus","Brevibacillus phage SecTim467"
"105931","K02335","KT187252","KT187252_158","sporulation_gene","Bacillus","Bacillus phage PBC6"
"105932","K02335","KT207918","KT207918_157","sporulation_gene","Bacillus","Bacillus phage Eyuki"
"105933","K02335","KT224359","KT224359_115","sporulation_gene","Bacillus","Bacillus phage TsarBomba"
"105934","K02335","KT307976","KT307976_143","sporulation_gene","Bacillus","Bacillus phage AvesoBmore"
"105935","K02335","KT624200","KT624200_111","sporulation_gene","Bacillus","Bacillus phage SP-15"
"105936","K02335","KT755656","KT755656_60","sporulation_gene","Paenibacillus","Paenibacillus phage Tripp"
"105937","K02335","KT755656","KT755656_60","sporulation_gene","Paenibacillus","Paenibacillus phage Tripp"
"105938","K02335","KT995480","KT995480_121","sporulation_gene","Bacillus","Bacillus phage BM15"
"105939","K02335","KU253712","KU253712_111","sporulation_gene","Bacillus","Bacillus phage Eldridge"
"105940","K02335","KU253712","KU253712_111","sporulation_gene","Bacillus","Bacillus phage Eldridge"
"105941","K02335","KU253712","KU253712_111","sporulation_gene","Bacillus","Bacillus phage Eldridge"
"105942","K02335","KU253712","KU253712_111","sporulation_gene","Bacillus","Bacillus phage Eldridge"
"105943","K02335","KU253712","KU253712_111","sporulation_gene","Bacillus","Bacillus phage Eldridge"
"105944","K02335","KU253712","KU253712_111","sporulation_gene","Bacillus","Bacillus phage Eldridge"
"105945","K02335","KU253712","KU253712_111","sporulation_gene","Bacillus","Bacillus phage Eldridge"
"105946","K02335","KU253712","KU253712_111","sporulation_gene","Bacillus","Bacillus phage Eldridge"
"105947","K02335","KU577463","KU577463_125","sporulation_gene","Bacillus","Bacillus phage Deep Blue"
"105948","K02335","KU640380","KU640380_175","sporulation_gene","Bacillus","Bacillus phage Shbh1"
"105949","K02335","KU665491","KU665491_60","sporulation_gene","Bacillus","Bacillus phage Mgbh1"
"105950","K02335","KU737344","KU737344_155","sporulation_gene","Bacillus","Bacillus phage Nigalana"
"105951","K02335","KU737345","KU737345_148","sporulation_gene","Bacillus","Bacillus phage Juglone"
"105952","K02335","KU737346","KU737346_159","sporulation_gene","Bacillus","Bacillus phage Vinny"
"105953","K02335","KU737347","KU737347_142","sporulation_gene","Bacillus","Bacillus phage Phrodo"
"105954","K02335","KU737348","KU737348_154","sporulation_gene","Bacillus","Bacillus phage Zuko"
"105955","K02335","KU737348","KU737348_154","sporulation_gene","Bacillus","Bacillus phage Zuko"
"105956","K02335","KU737349","KU737349_152","sporulation_gene","Bacillus","Bacillus phage DIGNKC"
"105957","K02335","KU737349","KU737349_152","sporulation_gene","Bacillus","Bacillus phage DIGNKC"
"105958","K02335","KU737349","KU737349_154","sporulation_gene","Bacillus","Bacillus phage DIGNKC"
"105959","K02335","KU737350","KU737350_152","sporulation_gene","Bacillus","Bacillus phage SageFayge"
"105960","K02335","KU737350","KU737350_154","sporulation_gene","Bacillus","Bacillus phage SageFayge"
"105961","K02335","KU737351","KU737351_152","sporulation_gene","Bacillus","Bacillus phage NotTheCreek"
"105962","K02335","KU737351","KU737351_154","sporulation_gene","Bacillus","Bacillus phage NotTheCreek"
"105963","K02335","KU737351","KU737351_152","sporulation_gene","Bacillus","Bacillus phage NotTheCreek"
"105964","K02335","KU737352","KU737352_155","sporulation_gene","Bacillus","Bacillus phage Nemo"
"105965","K02335","KU737352","KU737352_157","sporulation_gene","Bacillus","Bacillus phage Nemo"
"105966","K02335","KU737352","KU737352_155","sporulation_gene","Bacillus","Bacillus phage Nemo"
"105967","K02335","KU847400","KU847400_94","sporulation_gene","Bacillus","Bacillus phage Crookii"
"105968","K02335","KU847400","KU847400_94","sporulation_gene","Bacillus","Bacillus phage Crookii"
"105969","K02335","KU847400","KU847400_96","sporulation_gene","Bacillus","Bacillus phage Crookii"
"105970","K02335","KX011169","KX011169_152","sporulation_gene","Bacillus","Bacillus phage SalinJah"
"105971","K02335","KX147229","KX147229_153","sporulation_gene","Bacillus","Bacillus phage Belinda"
"105972","K02335","KX147229","KX147229_152","sporulation_gene","Bacillus","Bacillus phage Belinda"
"105973","K02335","KX156152","KX156152_156","sporulation_gene","Bacillus","Bacillus phage Smudge"
"105974","K02335","MW354667","MW354667_173","sporulation_gene","Bacillus","Bacillus phage BSTP3"
"105975","K02335","MW354669","MW354669_39","sporulation_gene","Bacillus","Bacillus phage BSTP5"
"105976","K02335","MW354676","MW354676_9","sporulation_gene","Bacillus","Bacillus phage BSTP8"
"105977","K02335","MW354677","MW354677_53","sporulation_gene","Bacillus","Bacillus phage BSTP10"
"105978","K02335","MW354678","MW354678_26","sporulation_gene","Bacillus","Bacillus phage BSTP12"
"105979","K02335","MW392803","MW392803_89","sporulation_gene","Bacillus","Bacillus phage BCPG1"
"105980","K02335","MW419084","MW419084_124","sporulation_gene","Bacillus","Bacillus phage 000TH008"
"105981","K02335","MW419085","MW419085_124","sporulation_gene","Bacillus","Bacillus phage 000TH009"
"105982","K02335","MW419086","MW419086_113","sporulation_gene","Bacillus","Bacillus phage 015DV002"
"105983","K02335","MW419087","MW419087_131","sporulation_gene","Bacillus","Bacillus phage 015DV004"
"105984","K02335","MW584228","MW584228_232","sporulation_gene","Bacillus","Bacillus phage BCPG3"
"105985","K02335","MW596414","MW596414_230","sporulation_gene","Bacillus","Bacillus phage BCP18"
"105986","K02335","MW749002","MW749002_177","sporulation_gene","Bacillus","Bacillus phage vB_BspH_Mawwa"
"105987","K02335","MW749007","MW749007_181","sporulation_gene","Bacillus","Bacillus phage vB_BspH_TimeGriffin"
"105988","K02335","MW787012","MW787012_246","sporulation_gene","Bacillus","Bacillus phage SWEP1"
"105989","K02335","MZ218124","MZ218124_53","sporulation_gene","Paenibacillus","Paenibacillus phage SV21"
"105990","K02335","MZ218124","MZ218124_53","sporulation_gene","Paenibacillus","Paenibacillus phage SV21"
"105991","K02335","MZ218124","MZ218124_53","sporulation_gene","Paenibacillus","Paenibacillus phage SV21"
"105992","K02335","MZ218124","MZ218124_53","sporulation_gene","Paenibacillus","Paenibacillus phage SV21"
"105993","K06400","MK560763","MK560763_37","sporulation_gene","Virgibacillus","Virgibacillus phage Mimir87"
"105994","K06400","MN882551","MN882551_18","sporulation_gene","Butyrivibrio","Butyrivibrio virus Arian"
"105995","K06400","MN882552","MN882552_18","sporulation_gene","Butyrivibrio","Butyrivibrio virus Bo-Finn"
"105996","K06400","MT136606","MT136606_21","sporulation_gene","Bacillus","Bacillus phage vB_BceS_KLEB30-3S"
"105997","K06400","MT210152","MT210152_51","sporulation_gene","Bacillus","Bacillus phage vB_Bacillus_1020A"
"105998","K06400","MT325768","MT325768_166","sporulation_gene","Psychrobacillus","Psychrobacillus phage Perkons"
"105999","K06400","MT366945","MT366945_2","sporulation_gene","Bacillus","Bacillus phage phi3Ts"
"106000","K06400","MT366947","MT366947_2","sporulation_gene","Bacillus","Bacillus phage Hyb2phi3Ts-SPbeta"
"106001","K06400","MT366948","MT366948_2","sporulation_gene","Bacillus","Bacillus phage Hyb3phi3Ts-SPbeta"
"106002","K06400","MT601272","MT601272_2","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe11"
"106003","K04763","NC_071041","NC_071041_21","sporulation_gene","Bacillus","Bacillus phage Kirov"
"106004","K04763","NC_071042","NC_071042_241","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Sophrita"
"106005","K04763","NC_071042","NC_071042_209","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Sophrita"
"106006","K04763","NC_071043","NC_071043_124","sporulation_gene","Bacillus","Bacillus phage pW2"
"106007","K04763","NC_071043","NC_071043_93","sporulation_gene","Bacillus","Bacillus phage pW2"
"106008","K04763","NC_071044","NC_071044_212","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Nate"
"106009","K04763","NC_071044","NC_071044_242","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Nate"
"106010","K04763","NC_071045","NC_071045_238","sporulation_gene","Bacillus","Bacillus phage Izhevsk"
"106011","K04763","NC_071045","NC_071045_208","sporulation_gene","Bacillus","Bacillus phage Izhevsk"
"106012","K04763","NC_071046","NC_071046_21","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Skywalker"
"106013","K04763","NC_071046","NC_071046_51","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Skywalker"
"106014","K04763","NC_071047","NC_071047_226","sporulation_gene","Bacillus","Bacillus phage vB_BanS_MrDarsey"
"106015","K04763","NC_071047","NC_071047_196","sporulation_gene","Bacillus","Bacillus phage vB_BanS_MrDarsey"
"106016","K04763","NC_071048","NC_071048_216","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Chewbecca"
"106017","K04763","NC_071048","NC_071048_186","sporulation_gene","Bacillus","Bacillus phage vB_BanS_Chewbecca"
"106018","K04763","NC_071049","NC_071049_102","sporulation_gene","Bacillus","Bacillus phage vB_BcoS-136"
"106019","K04763","NC_071049","NC_071049_129","sporulation_gene","Bacillus","Bacillus phage vB_BcoS-136"
"106020","K04763","NC_071050","NC_071050_52","sporulation_gene","Bacillus","Bacillus phage vB_BsuS_PJN02"
"106021","K04763","NC_071050","NC_071050_23","sporulation_gene","Bacillus","Bacillus phage vB_BsuS_PJN02"
